Code,RawLabel,ProcLabel
GR32,Fokis,"Fokis, Greece"
GR33,Voiotia,"Voiotia, Greece"
GR34,Evvoia,"Evvoia, Greece"
GR35,Attiki,"Attiki, Greece"
GR36,Argolis,"Argolis, Greece"
GR37,Korinthia,"Korinthia, Greece"
GR38,Akhaia,"Akhaia, Greece"
GR39,Ilia,"Ilia, Greece"
GR40,Messinia,"Messinia, Greece"
GR41,Arkadhia,"Arkadhia, Greece"
GR42,Lakonia,"Lakonia, Greece"
GR43,Khania,"Khania, Greece"
GR44,Rethimni,"Rethimni, Greece"
GR45,Iraklion,"Iraklion, Greece"
GR46,Lasithi,"Lasithi, Greece"
GR47,Dhodhekanisos,"Dhodhekanisos, Greece"
GR48,Samos,"Samos, Greece"
GR49,Kikladhes,"Kikladhes, Greece"
GR50,Khios,"Khios, Greece"
GR51,Lesvos,"Lesvos, Greece"
GR52,Aftonomi Monastiki Politeia Agiou Orous,"Aftonomi Monastiki Politeia Agiou Orous, Greece"
GR53,Perifereia Anatolikis Makedonias kai Thrakis,"Perifereia Anatolikis Makedonias Kai Thrakis, Greece"
GR54,Perifereia Attikis,"Perifereia Attikis, Greece"
GR55,Perifereia Dytikis Elladas,"Perifereia Dytikis Elladas, Greece"
GR56,Perifereia Dytikis Makedonias,"Perifereia Dytikis Makedonias, Greece"
GR57,Perifereia Ionion Nison,"Perifereia Ionion Nison, Greece"
GR58,Perifereia Ipeirou,"Perifereia Ipeirou, Greece"
GR59,Perifereia Kentrikis Makedonias,"Perifereia Kentrikis Makedonias, Greece"
GR60,Perifereia Kritis,"Perifereia Kritis, Greece"
GR61,Perifereia Notiou Aigaiou,"Perifereia Notiou Aigaiou, Greece"
GR62,Perifereia Peloponnisou,"Perifereia Peloponnisou, Greece"
GR63,Perifereia Stereas Elladas,"Perifereia Stereas Elladas, Greece"
GR64,Perifereia Thessalias,"Perifereia Thessalias, Greece"
GR65,Perifereia Voreiou Aigaiou,"Perifereia Voreiou Aigaiou, Greece"
GT00,GUATEMALA,Guatemala
GT01,Alta Verapaz,"Alta Verapaz, Guatemala"
GT02,Baja Verapaz,"Baja Verapaz, Guatemala"
GT03,Chimaltenango,"Chimaltenango, Guatemala"
GT04,Chiquimula,"Chiquimula, Guatemala"
GT05,El Progreso,"El Progreso, Guatemala"
GT06,Escuintla,"Escuintla, Guatemala"
GT07,Guatemala,"Guatemala, Guatemala"
GT08,Huehuetenango,"Huehuetenango, Guatemala"
GT09,Izabal,"Izabal, Guatemala"
GT10,Jalapa,"Jalapa, Guatemala"
GT11,Jutiapa,"Jutiapa, Guatemala"
GT12,Peten,"Peten, Guatemala"
GT13,Quetzaltenango,"Quetzaltenango, Guatemala"
GT14,Quiche,"Quiche, Guatemala"
GT15,Retalhuleu,"Retalhuleu, Guatemala"
GT16,Sacatepequez,"Sacatepequez, Guatemala"
GT17,San Marcos,"San Marcos, Guatemala"
GT18,Santa Rosa,"Santa Rosa, Guatemala"
GT19,Solola,"Solola, Guatemala"
GT20,Suchitepequez,"Suchitepequez, Guatemala"
GT21,Totonicapan,"Totonicapan, Guatemala"
GT22,Zacapa,"Zacapa, Guatemala"
GV00,GUINEA,Guinea
GV01,Beyla,"Beyla, Guinea"
GV02,Boffa,"Boffa, Guinea"
GV03,Boke,"Boke, Guinea"
GV04,Conakry,"Conakry, Guinea"
GV05,Dabola,"Dabola, Guinea"
GV06,Dalaba,"Dalaba, Guinea"
GV07,Dinguiraye,"Dinguiraye, Guinea"
GV08,Dubreka,"Dubreka, Guinea"
GV09,Faranah,"Faranah, Guinea"
GV10,Forecariah,"Forecariah, Guinea"
GV11,Fria,"Fria, Guinea"
GV12,Gaoual,"Gaoual, Guinea"
GV13,Gueckedou,"Gueckedou, Guinea"
GV14,Kankan,"Kankan, Guinea"
GV15,Kerouane,"Kerouane, Guinea"
GV16,Kindia,"Kindia, Guinea"
GV17,Kissidougou,"Kissidougou, Guinea"
GV18,Koundara,"Koundara, Guinea"
GV19,Kouroussa,"Kouroussa, Guinea"
GV20,Labe,"Labe, Guinea"
GV21,Macenta,"Macenta, Guinea"
GV22,Mali,"Mali, Guinea"
GV23,Mamou,"Mamou, Guinea"
GV24,Nzerekore,"Nzerekore, Guinea"
GV25,Pita,"Pita, Guinea"
GV26,Siguiri,"Siguiri, Guinea"
GV27,Telimele,"Telimele, Guinea"
GV28,Tougue,"Tougue, Guinea"
GV29,Yomou,"Yomou, Guinea"
GV30,Coyah,"Coyah, Guinea"
GV31,Dubreka,"Dubreka, Guinea"
GV32,Kankan,"Kankan, Guinea"
GV33,Koubia,"Koubia, Guinea"
GV34,Labe,"Labe, Guinea"
GV35,Lelouma,"Lelouma, Guinea"
GV36,Lola,"Lola, Guinea"
GV37,Mandiana,"Mandiana, Guinea"
GV38,Nzerekore,"Nzerekore, Guinea"
GV39,Siguiri,"Siguiri, Guinea"
GY00,GUYANA,Guyana
GY01,East Berbice-Corentyne,"East Berbice-Corentyne, Guyana"
GY02,East Demerara-West Coast Berbice,"East Demerara-West Coast Berbice, Guyana"
GY05,Mazaruni-Potaro,"Mazaruni-Potaro, Guyana"
GY06,North West,"North West, Guyana"
GY07,Rupununi,"Rupununi, Guyana"
GY09,West Demerara-Essequibo Coast,"West Demerara-Essequibo Coast, Guyana"
GY10,Barima-Waini,"Barima-Waini, Guyana"
GY11,Cuyuni-Mazaruni,"Cuyuni-Mazaruni, Guyana"
GY12,Demerara-Mahaica,"Demerara-Mahaica, Guyana"
GY13,East Berbice-Corentyne,"East Berbice-Corentyne, Guyana"
GY14,Essequibo Islands-West Demerara,"Essequibo Islands-West Demerara, Guyana"
GY15,Mahaica-Berbice,"Mahaica-Berbice, Guyana"
GY16,Pomeroon-Supenaam,"Pomeroon-Supenaam, Guyana"
GY17,Potaro-Siparuni,"Potaro-Siparuni, Guyana"
GY18,Upper Demerara-Berbice,"Upper Demerara-Berbice, Guyana"
GY19,Upper Takutu-Upper Essequibo,"Upper Takutu-Upper Essequibo, Guyana"
GZ00,GAZA STRIP,Gaza Strip
HA00,HAITI,Haiti
HA01,Artibonite,"Artibonite, Haiti"
HA02,Nord,"Nord, Haiti"
HA03,Nord-Ouest,"Nord-Ouest, Haiti"
HA04,Ouest,"Ouest, Haiti"
HA05,Sud,"Sud, Haiti"
HA06,Artibonite,"Artibonite, Haiti"
HA07,Centre,"Centre, Haiti"
HA08,Grand' Anse,"Grand Anse, Haiti"
HA09,Nord,"Nord, Haiti"
HA10,Nord-Est,"Nord-Est, Haiti"
HA11,Ouest,"Ouest, Haiti"
HA12,Sud,"Sud, Haiti"
HA13,Sud-Est,"Sud-Est, Haiti"
HA14,Grand' Anse,"Grand Anse, Haiti"
HA15,Nippes,"Nippes, Haiti"
HK00,HONG KONG,Hong Kong
HM00,HEARD ISLAND AND MCDONALD ISLANDS,Heard Island And Mcdonald Islands
HO00,HONDURAS,Honduras
HO01,Atlantida,"Atlantida, Honduras"
HO02,Choluteca,"Choluteca, Honduras"
HO03,Colon,"Colon, Honduras"
HO04,Comayagua,"Comayagua, Honduras"
HO05,Copan,"Copan, Honduras"
HO06,Cortes,"Cortes, Honduras"
HO07,El Paraiso,"El Paraiso, Honduras"
HO08,Francisco Morazan,"Francisco Morazan, Honduras"
HO09,Gracias a Dios,"Gracias A Dios, Honduras"
HO10,Intibuca,"Intibuca, Honduras"
HO11,Islas de la Bahia,"Islas De La Bahia, Honduras"
HO12,La Paz,"La Paz, Honduras"
HO13,Lempira,"Lempira, Honduras"
HO14,Ocotepeque,"Ocotepeque, Honduras"
HO15,Olancho,"Olancho, Honduras"
HO16,Santa Barbara,"Santa Barbara, Honduras"
HO17,Valle,"Valle, Honduras"
HO18,Yoro,"Yoro, Honduras"
HQ00,HOWLAND ISLAND,Howland Island
HR00,CROATIA,Croatia
